start,end_1-2,error_1-2,end_1-3,error_1-3,end_1-4,error_1-4,end_1-5,error_1-5,end_1-6,error_1-6,end_1-7,error_1-7,end_1-8,error_1-8,end_1-9,error_1-9,end_1-10,error_1-10,end_2-3,error_2-3,end_2-4,error_2-4,end_2-5,error_2-5,end_2-6,error_2-6,end_2-7,error_2-7,end_2-8,error_2-8,end_2-9,error_2-9,end_2-10,error_2-10,end_3-4,error_3-4,end_3-5,error_3-5,end_3-6,error_3-6,end_3-7,error_3-7,end_3-8,error_3-8,end_3-9,error_3-9,end_3-10,error_3-10,end_4-5,error_4-5,end_4-6,error_4-6,end_4-7,error_4-7,end_4-8,error_4-8,end_4-9,error_4-9,end_4-10,error_4-10,end_5-6,error_5-6,end_5-7,error_5-7,end_5-8,error_5-8,end_5-9,error_5-9,end_5-10,error_5-10,end_6-7,error_6-7,end_6-8,error_6-8,end_6-9,error_6-9,end_6-10,error_6-10,end_7-8,error_7-8,end_7-9,error_7-9,end_7-10,error_7-10,end_8-9,error_8-9,end_8-10,error_8-10,end_9-10,error_9-10,error_mean
1.403715978334058e+18,1.403715978834058e+18,0.0026520852165314154,1.403715978834058e+18,0.008260105924027749,1.403715978834058e+18,0.006030799996528242,1.403715978834058e+18,0.004372801639283631,1.403715978834058e+18,0.00388849534350906,1.403715978834058e+18,0.004496968835011016,1.403715978834058e+18,0.0038797369426285433,1.403715978834058e+18,0.0049397765714609115,1.403715978834058e+18,0.01838633383716567,1.403715978834058e+18,0.006253969107066205,1.403715978834058e+18,0.005616654492769888,1.403715978834058e+18,0.004744056185364617,1.403715978834058e+18,0.005435095477965122,1.403715978834058e+18,0.005638896161105976,1.403715978834058e+18,0.005774862538326208,1.403715978834058e+18,0.006646925890973259,1.403715978834058e+18,0.018702170638616126,1.403715978834058e+18,0.004764751004772612,1.403715978834058e+18,0.00635938209371413,1.403715978834058e+18,0.009049021915396397,1.403715978834058e+18,0.010867273389483026,1.403715978834058e+18,0.009195486770520032,1.403715978834058e+18,0.009242071774107465,1.403715978834058e+18,0.016075047959890697,1.403715978834058e+18,0.002220770245765919,1.403715978834058e+18,0.006277646023742383,1.403715978834058e+18,0.008581442264850768,1.403715978834058e+18,0.0055602591867022185,1.403715978834058e+18,0.005039471268779335,1.403715978834058e+18,0.014244249713519253,1.403715978834058e+18,0.005258590992294602,1.403715978834058e+18,0.006595941971647489,1.403715978834058e+18,0.004173998187920456,1.403715978834058e+18,0.0037501980352417567,1.403715978834058e+18,0.015537727380140734,1.403715978834058e+18,0.00802491189718346,1.403715978834058e+18,0.001897311091537208,1.403715978834058e+18,0.003313011493027304,1.403715978834058e+18,0.015406403458072756,1.403715978834058e+18,0.007320013920811037,1.403715978834058e+18,0.007825842477242152,1.403715978834058e+18,0.02180162352170557,1.403715978834058e+18,0.0015626313168377855,1.403715978834058e+18,0.015174221165384253,1.403715978834058e+18,0.014297251497355543,0.014297251497355543
1.403715978384058e+18,1.403715978884058e+18,0.0032236338323118393,1.403715978884058e+18,0.008803941261463248,1.403715978884058e+18,0.007007146810058846,1.403715978884058e+18,0.0050793314054668835,1.403715978884058e+18,0.005395263697196274,1.403715978884058e+18,0.005712540588956279,1.403715978884058e+18,0.0044507139705657174,1.403715978884058e+18,0.005756505304704855,1.403715978884058e+18,0.018785363678024896,1.403715978884058e+18,0.008075161970934832,1.403715978884058e+18,0.00762667824510674,1.403715978884058e+18,0.006255630865405051,1.403715978884058e+18,0.00682319317873878,1.403715978884058e+18,0.008902014147491975,1.403715978884058e+18,0.007226755622620146,1.403715978884058e+18,0.008322853722299779,1.403715978884058e+18,0.020262143058271113,1.403715978884058e+18,0.003526582075799382,1.403715978884058e+18,0.0054949343928611056,1.403715978884058e+18,0.01412472759539073,1.403715978884058e+18,0.01213072487230738,1.403715978884058e+18,0.00877833744114338,1.403715978884058e+18,0.008485071301543873,1.403715978884058e+18,0.014445738216389439,1.403715978884058e+18,0.0026722634664363455,1.403715978884058e+18,0.012334825867909682,1.403715978884058e+18,0.0089874870222312,1.403715978884058e+18,0.005725284416222836,1.403715978884058e+18,0.005078177860979003,1.403715978884058e+18,0.013119124429547194,1.403715978884058e+18,0.010149291963655509,1.403715978884058e+18,0.006938697010542074,1.403715978884058e+18,0.004394471378560428,1.403715978884058e+18,0.003885740581280669,1.403715978884058e+18,0.014980504115951521,1.403715978884058e+18,0.007115891034517249,1.403715978884058e+18,0.0084129107688692,1.403715978884058e+18,0.00985056958853802,1.403715978884058e+18,0.023373931844626657,1.403715978884058e+18,0.003844580385730318,1.403715978884058e+18,0.004358806898041759,1.403715978884058e+18,0.01746398517532996,1.403715978884058e+18,0.0018495834206490012,1.403715978884058e+18,0.0149723783512509,1.403715978884058e+18,0.01376504067432702,0.01376504067432702
1.403715978434058e+18,1.403715978934058e+18,0.0023454753615608304,1.403715978934058e+18,0.010257671264166017,1.403715978934058e+18,0.009409988264303991,1.403715978934058e+18,0.006677503618560067,1.403715978934058e+18,0.0062901237815758656,1.403715978934058e+18,0.006236973135392543,1.403715978934058e+18,0.005417952207772746,1.403715978934058e+18,0.007750666807554497,1.403715978934058e+18,0.01736393300818929,1.403715978934058e+18,0.0081644243229883,1.403715978934058e+18,0.007588576075232026,1.403715978934058e+18,0.004417684468635225,1.403715978934058e+18,0.005455248513962431,1.403715978934058e+18,0.00600244705538361,1.403715978934058e+18,0.004130565761175842,1.403715978934058e+18,0.005971935931149891,1.403715978934058e+18,0.01509243032466035,1.403715978934058e+18,0.004954496406542456,1.403715978934058e+18,0.0060546337563927455,1.403715978934058e+18,0.01071557890615725,1.403715978934058e+18,0.012574428953704708,1.403715978934058e+18,0.009287121199837439,1.403715978934058e+18,0.008660522934265141,1.403715978934058e+18,0.008382487079342103,1.403715978934058e+18,0.005471200350414463,1.403715978934058e+18,0.011531456372009748,1.403715978934058e+18,0.012095230891045134,1.403715978934058e+18,0.009937591385168967,1.403715978934058e+18,0.009631055986693813,1.403715978934058e+18,0.01200126681359416,1.403715978934058e+18,0.006324572336249413,1.403715978934058e+18,0.007078192274709534,1.403715978934058e+18,0.0048100841476393505,1.403715978934058e+18,0.004263812481872808,1.403715978934058e+18,0.011713681378103908,1.403715978934058e+18,0.0033182789788549247,1.403715978934058e+18,0.0016013821223158412,1.403715978934058e+18,0.003355123413627898,1.403715978934058e+18,0.01494921234066281,1.403715978934058e+18,0.003764509094032609,1.403715978934058e+18,0.005182737872169402,1.403715978934058e+18,0.01722140579515736,1.403715978934058e+18,0.0027051440717671565,1.403715978934058e+18,0.014070159364399324,1.403715978934058e+18,0.01207921035821212,0.01207921035821212
1.403715978484058e+18,1.403715978984058e+18,0.00323163530898329,1.403715978984058e+18,0.011001491923983597,1.403715978984058e+18,0.0049796635602343585,1.403715978984058e+18,0.006291867512175248,1.403715978984058e+18,0.003917423645669179,1.403715978984058e+18,0.0030226520095999903,1.403715978984058e+18,0.002327617235568351,1.403715978984058e+18,0.003877352872251431,1.403715978984058e+18,0.012750869283585306,1.403715978984058e+18,0.009105329379338048,1.403715978984058e+18,0.005278759849014133,1.403715978984058e+18,0.006076334265793174,1.403715978984058e+18,0.006026210950676508,1.403715978984058e+18,0.0062363454561330835,1.403715978984058e+18,0.0037375415365327913,1.403715978984058e+18,0.005530529545030253,1.403715978984058e+18,0.01389153587677024,1.403715978984058e+18,0.0071702960333108285,1.403715978984058e+18,0.005909537887218448,1.403715978984058e+18,0.01124216061076007,1.403715978984058e+18,0.013003163254315038,1.403715978984058e+18,0.010825914387847895,1.403715978984058e+18,0.009540360974632707,1.403715978984058e+18,0.012266962059579787,1.403715978984058e+18,0.001878112382648703,1.403715978984058e+18,0.004442932217329511,1.403715978984058e+18,0.00606979389388404,1.403715978984058e+18,0.00488180158548489,1.403715978984058e+18,0.0024278171486982456,1.403715978984058e+18,0.008970531554404153,1.403715978984058e+18,0.00629135502835873,1.403715978984058e+18,0.007532906162786646,1.403715978984058e+18,0.006559223074139448,1.403715978984058e+18,0.004184126834070585,1.403715978984058e+18,0.009422155499649906,1.403715978984058e+18,0.0034136466882911643,1.403715978984058e+18,0.0027196858230311475,1.403715978984058e+18,0.002202323081583887,1.403715978984058e+18,0.009471384824333878,1.403715978984058e+18,0.0038565947481627874,1.403715978984058e+18,0.004010677106656751,1.403715978984058e+18,0.011922494353007929,1.403715978984058e+18,0.0035401577528337423,1.403715978984058e+18,0.011778060571997366,1.403715978984058e+18,0.008893350480453583,0.008893350480453583
1.403715978534058e+18,1.403715979034058e+18,0.003155131035272463,1.403715979034058e+18,0.018603841016263938,1.403715979034058e+18,0.005637621617482095,1.403715979034058e+18,0.009856057161766713,1.403715979034058e+18,0.004605606763513572,1.403715979034058e+18,0.011250331468013082,1.403715979034058e+18,0.0029570402779134403,1.403715979034058e+18,0.004048278517047768,1.403715979034058e+18,0.01341663721703313,1.403715979034058e+18,0.01703579681873262,1.403715979034058e+18,0.006060985718879601,1.403715979034058e+18,0.007992167679262425,1.403715979034058e+18,0.0066747948214626205,1.403715979034058e+18,0.008406175596177495,1.403715979034058e+18,0.003131692182070792,1.403715979034058e+18,0.004426377523767631,1.403715979034058e+18,0.014584205015303301,1.403715979034058e+18,0.013764507607715207,1.403715979034058e+18,0.014601736101204509,1.403715979034058e+18,0.01769587020651467,1.403715979034058e+18,0.017590159097846957,1.403715979034058e+18,0.015666541543774955,1.403715979034058e+18,0.01483530387966735,1.403715979034058e+18,0.014751805901246546,1.403715979034058e+18,0.009403964349963363,1.403715979034058e+18,0.004465844619558063,1.403715979034058e+18,0.012754941327231544,1.403715979034058e+18,0.0030457520178705185,1.403715979034058e+18,0.0017058217090259594,1.403715979034058e+18,0.008802844907946293,1.403715979034058e+18,0.012746762446809654,1.403715979034058e+18,0.006422652945232038,1.403715979034058e+18,0.008569117324767672,1.403715979034058e+18,0.00892797452093916,1.403715979034058e+18,0.01734621480484973,1.403715979034058e+18,0.014926359390377113,1.403715979034058e+18,0.004328352332665394,1.403715979034058e+18,0.004012161241263012,1.403715979034058e+18,0.009420502880630108,1.403715979034058e+18,0.010770102436081584,1.403715979034058e+18,0.011666868961960975,1.403715979034058e+18,0.021263965582530017,1.403715979034058e+18,0.001348502644265877,1.403715979034058e+18,0.011549776632047908,1.403715979034058e+18,0.0102700787978966,0.0102700787978966
1.403715978584058e+18,1.403715979084058e+18,0.003011009689021029,1.403715979084058e+18,0.020475725820668953,1.403715979084058e+18,0.006063355441251075,1.403715979084058e+18,0.013368555873318609,1.403715979084058e+18,0.010868731926846262,1.403715979084058e+18,0.01295906227272098,1.403715979084058e+18,0.0029360322019625676,1.403715979084058e+18,0.00410965180472774,1.403715979084058e+18,0.01344179486415631,1.403715979084058e+18,0.018102713683409613,1.403715979084058e+18,0.006391415314939064,1.403715979084058e+18,0.01148925206960654,1.403715979084058e+18,0.007976181187734936,1.403715979084058e+18,0.010153581207028948,1.403715979084058e+18,0.0028380534811922146,1.403715979084058e+18,0.004313416950843439,1.403715979084058e+18,0.014578738409755296,1.403715979084058e+18,0.016991798064378782,1.403715979084058e+18,0.020558557213215298,1.403715979084058e+18,0.013543639240308207,1.403715979084058e+18,0.015823878552218732,1.403715979084058e+18,0.017870465023631217,1.403715979084058e+18,0.017469731491133938,1.403715979084058e+18,0.021017075521304655,1.403715979084058e+18,0.016871950807302093,1.403715979084058e+18,0.01144582165572837,1.403715979084058e+18,0.01507369513216151,1.403715979084058e+18,0.0036698844824593776,1.403715979084058e+18,0.0021353958749294184,1.403715979084058e+18,0.008442871869895854,1.403715979084058e+18,0.011920736047688063,1.403715979084058e+18,0.006391455674760268,1.403715979084058e+18,0.014023240983601326,1.403715979084058e+18,0.01519569099861593,1.403715979084058e+18,0.025269947405557245,1.403715979084058e+18,0.006449189964549714,1.403715979084058e+18,0.009411810930542245,1.403715979084058e+18,0.010197469933054072,1.403715979084058e+18,0.01879979260359267,1.403715979084058e+18,0.012497394409694053,1.403715979084058e+18,0.013553839604409994,1.403715979084058e+18,0.0232789846241435,1.403715979084058e+18,0.001536323440377121,1.403715979084058e+18,0.01174471906091843,1.403715979084058e+18,0.010314721703270795,0.010314721703270795
1.403715978634058e+18,1.403715979134058e+18,0.005257629559666449,1.403715979134058e+18,0.011883777746329796,1.403715979134058e+18,0.007338694155382914,1.403715979134058e+18,0.009243943885847445,1.403715979134058e+18,0.004963235584775261,1.403715979134058e+18,0.0021887797230212593,1.403715979134058e+18,0.0033502993817370237,1.403715979134058e+18,0.004220231709866205,1.403715979134058e+18,0.013824758297488889,1.403715979134058e+18,0.008724939654932371,1.403715979134058e+18,0.007858626268361603,1.403715979134058e+18,0.009026247069948227,1.403715979134058e+18,0.0027963363032769114,1.403715979134058e+18,0.005133137888259197,1.403715979134058e+18,0.003829355406131373,1.403715979134058e+18,0.005343454136605313,1.403715979134058e+18,0.015323269938631524,1.403715979134058e+18,0.007114568779034646,1.403715979134058e+18,0.006681145975868326,1.403715979134058e+18,0.007542328531128211,1.403715979134058e+18,0.011122340825944835,1.403715979134058e+18,0.008621244064487948,1.403715979134058e+18,0.0084213324918271,1.403715979134058e+18,0.01301094043296381,1.403715979134058e+18,0.002612312846850099,1.403715979134058e+18,0.005377566100925978,1.403715979134058e+18,0.00640915091247675,1.403715979134058e+18,0.004692200494387035,1.403715979134058e+18,0.003252487983205494,1.403715979134058e+18,0.008211825439944264,1.403715979134058e+18,0.006336869686133701,1.403715979134058e+18,0.007841753158941154,1.403715979134058e+18,0.006374552050872841,1.403715979134058e+18,0.0050763654125036495,1.403715979134058e+18,0.006904929883253321,1.403715979134058e+18,0.003942973799941289,1.403715979134058e+18,0.0021077555335163004,1.403715979134058e+18,0.003089548466033688,1.403715979134058e+18,0.012545424755352065,1.403715979134058e+18,0.0027111246182095396,1.403715979134058e+18,0.003288657626348439,1.403715979134058e+18,0.012356210008143461,1.403715979134058e+18,0.001625310893716765,1.403715979134058e+18,0.01203301245864,1.403715979134058e+18,0.010474202038500262,0.010474202038500262
1.403715978684058e+18,1.403715979184058e+18,0.006187263326602949,1.403715979184058e+18,0.015010747348367614,1.403715979184058e+18,0.012879260839894081,1.403715979184058e+18,0.014375329668719145,1.403715979184058e+18,0.008412865768104379,1.403715979184058e+18,0.006996825387751491,1.403715979184058e+18,0.007860866409016256,1.403715979184058e+18,0.009335051850552755,1.403715979184058e+18,0.012926733907252005,1.403715979184058e+18,0.009943383432320922,1.403715979184058e+18,0.009512913459255192,1.403715979184058e+18,0.00879287667261564,1.403715979184058e+18,0.003809078745689213,1.403715979184058e+18,0.003613988559105682,1.403715979184058e+18,0.0036488305599226105,1.403715979184058e+18,0.00505456282796514,1.403715979184058e+18,0.008058529834864209,1.403715979184058e+18,0.005405058856869405,1.403715979184058e+18,0.007313381065835048,1.403715979184058e+18,0.011407672078109719,1.403715979184058e+18,0.01151732649826293,1.403715979184058e+18,0.009452592986874009,1.403715979184058e+18,0.009519109509816548,1.403715979184058e+18,0.0063531352741572275,1.403715979184058e+18,0.008532723871700837,1.403715979184058e+18,0.011307101627580007,1.403715979184058e+18,0.010271889502752233,1.403715979184058e+18,0.00797509631614802,1.403715979184058e+18,0.008185066128019513,1.403715979184058e+18,0.005656715127235805,1.403715979184058e+18,0.007512006287275721,1.403715979184058e+18,0.008080716377009288,1.403715979184058e+18,0.006656767834406974,1.403715979184058e+18,0.005530233618990697,1.403715979184058e+18,0.00321185402231161,1.403715979184058e+18,0.0024326321181603735,1.403715979184058e+18,0.0037551345288580162,1.403715979184058e+18,0.004028107506152751,1.403715979184058e+18,0.007818158660775792,1.403715979184058e+18,0.0023305779400569367,1.403715979184058e+18,0.003036431849823192,1.403715979184058e+18,0.0074421433173224956,1.403715979184058e+18,0.0016284706725736909,1.403715979184058e+18,0.005395675836297108,1.403715979184058e+18,0.00452351346340776,0.00452351346340776
1.403715978734058e+18,1.403715979234058e+18,0.0021810115857406422,1.403715979234058e+18,0.012612772966197512,1.403715979234058e+18,0.007372575822232266,1.403715979234058e+18,0.009834426430284288,1.403715979234058e+18,0.003374174452379112,1.403715979234058e+18,0.0025622494124336553,1.403715979234058e+18,0.0027484483147671517,1.403715979234058e+18,0.0031811968970327812,1.403715979234058e+18,0.00915202911319255,1.403715979234058e+18,0.010838816861510524,1.403715979234058e+18,0.0062466353468723914,1.403715979234058e+18,0.009309653419747457,1.403715979234058e+18,0.004073844811374548,1.403715979234058e+18,0.0037289650395913526,1.403715979234058e+18,0.0025338721608304266,1.403715979234058e+18,0.003020801963899647,1.403715979234058e+18,0.008462427230598042,1.403715979234058e+18,0.006668757244091327,1.403715979234058e+18,0.008294015227406864,1.403715979234058e+18,0.012142305284917398,1.403715979234058e+18,0.01202230413139145,1.403715979234058e+18,0.010269861532380704,1.403715979234058e+18,0.010092139763351162,1.403715979234058e+18,0.00698309701870427,1.403715979234058e+18,0.003681454237392972,1.403715979234058e+18,0.005807796243672288,1.403715979234058e+18,0.006449523232584423,1.403715979234058e+18,0.0048784033963720635,1.403715979234058e+18,0.004711613357997214,1.403715979234058e+18,0.003361450986275709,1.403715979234058e+18,0.007520140422018254,1.403715979234058e+18,0.00819477280433279,1.403715979234058e+18,0.007325211666748458,1.403715979234058e+18,0.007012126624361759,1.403715979234058e+18,0.0026964966648441438,1.403715979234058e+18,0.0031597640099668375,1.403715979234058e+18,0.00309134570225275,1.403715979234058e+18,0.0033474985712532404,1.403715979234058e+18,0.007709634880745463,1.403715979234058e+18,0.0019821780643083865,1.403715979234058e+18,0.00196656127719956,1.403715979234058e+18,0.007391225259239711,1.403715979234058e+18,0.0005344320692504855,1.403715979234058e+18,0.006422547517918861,1.403715979234058e+18,0.006009830351297076,0.006009830351297076
